iter	Recall	Logloss
631	0.9316725979	0.04118930472
632	0.9316725979	0.04110859644
633	0.9323843416	0.0410205073
634	0.9330960854	0.04090641281
635	0.934519573	0.04081921132
636	0.9352313167	0.04073203585
637	0.9338078292	0.04062047101
638	0.9338078292	0.04053743142
639	0.9338078292	0.04045165083
640	0.9338078292	0.04034220271
641	0.9338078292	0.04025613274
642	0.9352313167	0.04017729406
643	0.9359430605	0.04008914964
644	0.937366548	0.03998565823
645	0.937366548	0.03990752838
646	0.9387900356	0.03980549364
647	0.9380782918	0.03972880419
648	0.9380782918	0.03964986147
649	0.9380782918	0.03957560088
650	0.9380782918	0.03948916674
651	0.9387900356	0.03941316661
652	0.9387900356	0.03931548234
653	0.9387900356	0.0392371444
654	0.9387900356	0.03916246111
655	0.9387900356	0.03909104882
656	0.9387900356	0.03901980236
657	0.9387900356	0.03893859985
658	0.9402135231	0.0388701269
659	0.9402135231	0.03880195634
660	0.9402135231	0.03872942879
661	0.9409252669	0.03866063069
662	0.9409252669	0.03859048647
663	0.9416370107	0.03852118114
664	0.9416370107	0.03842272953
665	0.9416370107	0.03835187974
666	0.9416370107	0.0382771867
667	0.9416370107	0.03821187419
668	0.9430604982	0.03814326143
669	0.9430604982	0.03807847565
670	0.9430604982	0.03797749764
671	0.9430604982	0.03790626743
672	0.9430604982	0.03783438367
673	0.943772242	0.03773384786
674	0.943772242	0.03766256888
675	0.943772242	0.03759342287
676	0.943772242	0.03752423784
677	0.943772242	0.0374254936
678	0.943772242	0.03735773597
679	0.943772242	0.03728747145
680	0.943772242	0.0372276572
681	0.943772242	0.03717024904
682	0.9451957295	0.03709647942
683	0.9451957295	0.03703825839
684	0.9444839858	0.03697392132
685	0.9444839858	0.03691585636
686	0.9459074733	0.03685323283
687	0.9459074733	0.0367912921
688	0.9459074733	0.03673161115
689	0.9459074733	0.03667104581
690	0.9459074733	0.03661526664
691	0.9466192171	0.03655792026
692	0.9466192171	0.03649543328
693	0.9466192171	0.03643690336
694	0.9473309609	0.0363519454
695	0.9480427046	0.03628652233
696	0.9480427046	0.03622424345
697	0.9480427046	0.03615974056
698	0.9480427046	0.03610162358
699	0.9487544484	0.03601728339
700	0.9494661922	0.03594703513
701	0.9494661922	0.03586038315
702	0.9494661922	0.03579501211
703	0.9508896797	0.0357095144
704	0.9508896797	0.03562505391
705	0.9508896797	0.03556465113
706	0.9508896797	0.03550644311
707	0.9508896797	0.03543775881
708	0.9508896797	0.03535401365
709	0.9508896797	0.03527110087
710	0.9508896797	0.03520784004
711	0.9516014235	0.03512459236
712	0.9516014235	0.03505735497
713	0.9516014235	0.03497632154
714	0.9516014235	0.03491312899
715	0.9516014235	0.03482157052
716	0.9516014235	0.03474164585
717	0.9516014235	0.03468177957
718	0.9516014235	0.0346145747
719	0.9516014235	0.03452472976
720	0.9516014235	0.0344395767
721	0.9516014235	0.03437654998
722	0.953024911	0.03428626284
723	0.953024911	0.0342018999
724	0.953024911	0.03414250833
725	0.953024911	0.03405760564
726	0.953024911	0.03399482603
727	0.9537366548	0.03390944863
728	0.9537366548	0.03384876623
729	0.9537366548	0.03376055028
730	0.9537366548	0.03369457121
731	0.9537366548	0.03361222094
732	0.9537366548	0.03354382277
733	0.9537366548	0.03345489474
734	0.9537366548	0.03339772394
735	0.9551601423	0.03333021668
736	0.9551601423	0.03327199565
737	0.9551601423	0.03319087443
738	0.9551601423	0.03311709831
739	0.9551601423	0.03306126712
740	0.9551601423	0.03300725351
741	0.9551601423	0.03293796444
742	0.9558718861	0.0328517579
743	0.9558718861	0.0327995196
744	0.9558718861	0.03274029386
745	0.9558718861	0.03267184367
746	0.9558718861	0.03261515083
747	0.9558718861	0.03254035375
748	0.9558718861	0.03247380242
749	0.9558718861	0.03242128124
750	0.9558718861	0.03235393005
751	0.9558718861	0.03230266719
752	0.9558718861	0.03222324325
753	0.9572953737	0.03216814689
754	0.9587188612	0.03210282137
755	0.9587188612	0.03203745358
756	0.9587188612	0.0319596944
757	0.9587188612	0.03190719272
758	0.9587188612	0.03184233542
759	0.9587188612	0.0317904938
760	0.9587188612	0.03172737929
761	0.9587188612	0.03167643832
762	0.9587188612	0.03161408141
763	0.9587188612	0.03156413215
764	0.9587188612	0.0315178343
765	0.9587188612	0.0314548596
766	0.9587188612	0.03140474777
767	0.9587188612	0.0313583979
768	0.9587188612	0.03129711397
769	0.9587188612	0.03124574381
770	0.9601423488	0.03119956627
771	0.9608540925	0.03113342138
772	0.9608540925	0.03108911994
773	0.9608540925	0.03102757915
774	0.9629893238	0.03098042291
775	0.9629893238	0.03093598816
776	0.9629893238	0.03087487331
777	0.9629893238	0.03082735941
778	0.9629893238	0.03078018366
779	0.9629893238	0.03071412331
780	0.9629893238	0.03066510072
781	0.9629893238	0.03060673987
782	0.9629893238	0.03055931701
783	0.9629893238	0.03051366296
784	0.9629893238	0.0304664612
785	0.9629893238	0.03040284271
786	0.9629893238	0.03035744552
787	0.9629893238	0.03031159963
788	0.9629893238	0.03025253972
789	0.9629893238	0.0302061931
790	0.9629893238	0.03015907263
791	0.9637010676	0.03011445254
792	0.9629893238	0.03005140957
793	0.9637010676	0.03000668869
794	0.9637010676	0.02994920249
795	0.9637010676	0.02990295342
796	0.9637010676	0.02985987779
797	0.9637010676	0.02980343532
798	0.9637010676	0.02975899082
